, ,AF201874,AF092062,AF008903,AY661041,AY661042,AY661045,AY661046,AY661047,AY661025,AY661048,AY661049,AY661052,AY661054,AY661073,AY661098,AY661151,AY661181,U08858,AY661050,AF008888,AY661053,AF008886,AY661067,AF008665,AY661066,AY661159,AY661174,AY661180,AY661182,AY661183,AF008725,AY661192,AY661200,AY661197,AY661201,AY661209,AY661019,AY661031,AY661024,AY661022,AY661020,AY661034,AY661023
10,AY660998,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,AY660999,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,AY661041,1,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,AY661000,1,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,AY661001,1,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,AY661002,2,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,AY661003,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,AY661004,1,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,AY661018,1,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,AY661042,1,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,AY661017,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,AY661027,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,AY661005,1,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,AY661043,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,AY661028,1,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,AY661044,0,2,0,2,2,2,0,1,2,2,2,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,AY661006,0,2,1,2,2,3,0,2,1,2,1,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,AY661007,0,2,1,2,2,2,0,1,2,2,2,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,AY661008,0,2,1,2,2,3,0,2,1,2,1,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,AY661009,0,2,1,2,2,3,0,2,1,2,1,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,AY661010,0,2,1,2,2,3,0,2,1,2,1,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,AY661045,0,2,1,2,2,3,0,2,1,2,2,2,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,AY661011,0,2,1,2,2,3,0,2,1,2,2,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,AY661012,1,2,0,2,2,3,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,AY661013,1,2,1,2,2,3,0,1,1,2,1,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,AY661047,0,1,2,0,1,2,3,3,3,3,3,3,2,0,0,0,0,2,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,AY661046,0,1,2,0,1,2,3,3,3,3,3,3,2,0,0,0,0,2,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,AY661025,0,0,2,0,0,2,3,3,3,3,3,2,1,0,0,0,0,3,2,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,AY661048,0,0,2,0,0,2,2,3,3,3,3,3,1,0,0,0,0,3,3,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,AY661049,0,0,2,0,0,2,2,2,2,3,3,3,2,0,0,0,0,3,3,2,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,AY661052,0,0,2,0,0,2,2,2,2,3,3,3,2,0,1,0,0,2,3,2,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,AY661053,0,0,3,0,0,2,2,2,2,3,3,3,3,0,1,0,0,2,3,2,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,AY661054,0,0,2,0,0,1,0,0,0,0,2,3,3,3,2,0,0,1,3,2,3,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,AY661067,0,0,2,0,0,1,0,0,0,0,2,2,3,2,2,0,0,0,3,3,3,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,AY661073,0,0,1,0,0,0,0,0,0,0,1,2,2,3,3,0,0,0,2,3,2,2,3,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,AY661098,0,0,1,0,0,0,0,0,0,0,0,2,2,3,3,1,1,0,2,2,2,1,3,2,2,1,1,2,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1
46,AY661144,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,0,1,1,1,2,1,1,3,3,2,2,2,1,2,1,2,2,2,1,1,1,1,0,1,1
47,AY661151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,1,1,1,0,1,2,1,2,3,2,1,3,2,2,2,2,1,1,1,1,3,1,1
48,AY661160,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,0,1,0,1,1,2,1,1,3,3,3,3,3,1,2,1,2,2,2,1,1,1,1,2,1,1
49,AY661181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,1,0,0,3,3,3,3,3,1,2,2,2,2,2,1,1,1,1,2,1,2
50,AY661050,0,0,3,0,0,2,2,2,2,3,2,3,3,0,0,0,0,2,3,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,AF008888,0,0,1,0,0,1,0,0,1,1,2,2,3,2,2,0,0,1,2,3,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,AY661014,0,1,2,0,1,2,3,3,3,3,3,3,3,0,0,0,0,2,3,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,AY661015,0,1,2,0,1,2,3,3,3,3,3,3,2,0,0,0,0,3,3,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,AY661016,0,1,2,0,1,2,3,3,3,3,3,3,3,0,0,0,0,3,3,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,U08858,0,0,2,0,0,1,2,2,2,3,2,2,2,0,0,0,0,2,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,AF008867,0,0,2,0,0,2,2,2,2,2,3,2,2,0,0,0,0,2,2,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,AF008903,0,0,2,0,0,1,2,2,2,2,2,3,2,0,0,0,0,2,3,2,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,AY661056,0,0,2,0,0,1,0,0,0,1,2,3,3,3,2,0,0,1,2,3,3,3,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,AY661055,0,0,2,0,0,1,0,0,0,0,2,2,3,2,2,0,0,0,3,2,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,AY661057,0,0,1,0,0,1,0,0,0,0,2,2,3,2,2,0,0,1,3,2,3,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,AF008886,0,0,1,0,0,1,0,0,1,1,2,2,3,2,2,0,0,1,2,2,2,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,AF008665,0,0,1,0,0,0,0,0,0,0,2,2,3,2,2,1,1,0,2,1,2,2,2,2,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
63,AY661059,0,0,2,0,0,0,0,0,0,0,2,2,3,2,2,0,1,1,3,2,3,3,3,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64,AY661068,0,0,1,0,0,1,0,0,0,0,2,2,3,2,2,0,0,0,3,1,2,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,AY661029,0,0,1,0,0,1,0,0,0,0,2,2,3,2,2,0,0,0,2,0,2,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,AY661061,0,0,2,0,0,1,0,0,0,0,2,2,3,2,2,0,0,0,3,2,3,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,AY661063,0,0,2,0,0,1,0,0,0,0,2,2,3,2,2,0,0,0,2,3,2,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,AY661058,0,0,2,0,0,0,0,0,0,0,2,2,3,2,2,0,0,0,2,2,2,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,AY661069,0,0,2,0,0,1,0,0,0,0,2,2,3,2,2,0,0,1,3,2,3,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,AY661072,0,0,2,0,0,1,0,0,0,0,2,2,3,2,2,0,0,1,3,3,3,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,AY661076,0,0,2,0,0,1,0,0,0,0,2,2,3,2,2,0,1,1,3,3,3,3,3,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72,AY661075,0,0,1,0,0,0,0,0,0,0,0,2,2,3,3,0,0,0,2,2,3,2,3,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,AY661081,0,0,1,0,0,0,0,0,0,0,1,2,2,3,3,1,2,0,2,2,2,2,3,2,2,2,2,2,2,2,0,2,1,1,2,1,1,1,1,1,0,1,0
74,AY661079,0,0,1,0,0,0,0,0,0,0,1,2,2,3,3,0,0,0,2,2,2,2,3,2,3,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
75,AY661078,0,0,1,0,0,0,0,0,0,0,2,2,3,3,3,0,0,0,2,2,2,1,3,2,3,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
76,AY661115,0,0,1,0,0,0,0,0,0,0,1,2,3,3,3,0,0,0,2,2,3,2,3,2,3,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
77,AY661096,0,0,1,0,0,0,0,0,0,0,1,2,2,3,3,0,0,0,2,2,2,2,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,AY661110,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,0,0,0,1,2,2,1,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79,AY661117,0,0,1,0,0,0,0,0,0,0,1,2,2,3,3,0,1,0,2,2,3,2,3,2,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1
80,AY661114,0,0,1,0,0,0,0,0,0,0,1,2,2,3,3,0,0,0,2,2,2,2,3,2,3,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
81,AY661080,0,0,1,0,0,0,0,0,0,0,1,2,2,3,3,0,0,0,2,2,2,1,3,2,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
82,AY661097,0,0,1,0,0,0,0,0,0,0,1,2,3,3,3,0,0,0,2,2,3,2,3,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
83,AY661093,0,0,1,0,0,0,0,0,0,0,0,1,2,3,3,0,0,0,2,2,2,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,AY661095,0,0,1,0,0,0,0,0,0,0,1,2,2,3,3,0,0,0,2,2,2,2,3,2,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
85,AY661126,0,0,1,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,1,2,2,2,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,AY661127,0,0,1,0,0,0,0,0,0,0,0,1,2,3,3,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,AY661128,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,0,0,0,1,1,2,1,2,1,2,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
88,AY661120,0,0,1,0,0,0,0,0,0,0,0,1,2,3,2,0,0,0,2,2,2,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,AF008697,0,0,1,0,0,0,0,0,0,0,1,2,2,3,3,0,0,0,2,2,2,2,3,2,3,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0
90,AY661066,0,0,1,0,0,0,0,0,0,0,1,1,2,2,2,0,0,0,2,2,2,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,AY661099,0,0,1,0,0,0,0,0,0,0,0,2,2,3,3,0,0,0,2,1,2,1,3,2,3,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
92,D49961,0,0,1,0,0,0,0,0,0,0,1,1,2,2,3,1,1,0,2,2,2,2,3,2,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
93,AY661088,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,0,0,0,2,2,3,2,3,2,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
94,AY661116,0,0,1,0,0,0,0,0,0,0,1,2,2,3,3,0,0,0,2,2,2,2,3,2,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
95,AY661071,0,0,2,0,0,1,0,0,0,0,2,2,3,2,2,0,0,1,3,3,3,3,3,3,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,AY661060,0,0,1,0,0,1,0,0,0,0,2,1,3,2,2,0,0,0,3,2,2,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,AY661062,0,0,1,0,0,1,0,0,0,0,2,1,2,2,2,0,0,0,2,2,2,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,AY661064,0,0,1,0,0,0,0,0,0,0,2,2,3,2,2,0,0,0,2,2,3,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,AY661065,0,0,1,0,0,1,0,0,0,0,2,2,2,2,2,0,0,0,2,1,2,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,AY661070,0,0,2,0,0,1,0,0,0,0,2,2,3,2,2,0,0,1,3,3,3,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,AY661074,0,0,1,0,0,0,0,0,0,0,1,2,2,1,1,1,0,0,2,2,2,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,AY661130,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,2,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,AY661138,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,1,0,2,0,1,3,3,2,2,3,0,2,1,1,1,1,1,1,1,1,0,1,1
104,AY661125,0,0,2,0,0,0,0,0,0,0,1,1,2,1,2,0,1,0,2,2,2,3,3,2,2,2,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
105,AY661129,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,1,3,2,2,2,2,0,0,1,1,1,1,0,1,0,1,0,1,1
106,AY661137,0,0,1,0,0,0,0,0,0,0,2,2,3,3,3,0,0,0,2,2,2,2,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
107,AY661134,0,0,1,0,0,0,0,0,0,0,2,2,2,2,3,0,0,0,2,2,2,2,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
108,AY661135,0,0,1,0,0,0,0,0,0,0,2,2,2,3,3,0,0,0,2,2,2,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
109,AY661155,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,1,2,3,2,2,2,0,2,2,1,1,1,0,1,0,1,1,1,1
110,AY661150,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,1,1,0,2,2,2,1,3,2,2,2,1,2,1,1,1,1,1,2,2,1,2,2,1,2,0,1,1
111,AY661143,0,0,1,0,0,0,0,0,0,0,0,1,2,3,3,0,0,0,2,1,2,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,AY661145,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,0,0,1,1,2,1,1,3,3,3,3,3,1,2,2,2,2,2,1,1,1,2,2,1,2
113,AY661142,0,0,1,0,0,0,0,0,0,0,0,1,2,3,3,0,0,0,2,1,2,1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,AY661147,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,0,1,1,1,2,1,1,3,3,3,3,3,1,2,2,2,2,2,1,1,1,2,2,1,2
115,AY661148,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,1,1,2,2,1,1,3,3,2,2,2,1,1,2,2,1,1,1,1,1,1,0,1,1
116,AY661131,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2,2,3,0,1,2,2,2,2,1,2,3,3,2,3,3,0,2,2,2,2,1,1,1,1,1,2,1,2
117,AY661133,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,3,0,1,2,2,2,3,1,2,3,3,2,3,3,0,2,2,2,2,1,1,1,1,2,2,1,2
118,AY661139,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,0,0,1,1,2,2,1,1,2,3,2,2,2,1,1,2,2,1,1,1,1,1,1,0,1,1
119,AY661140,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,1,1,2,2,2,1,1,3,2,2,2,2,0,1,2,1,1,1,1,1,1,1,0,1,1
120,AY661141,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,0,1,1,2,2,2,1,1,2,2,2,2,2,0,0,2,1,1,1,1,1,1,1,0,1,1
121,AY661146,0,0,1,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,2,1,2,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,AY661149,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,3,0,1,1,2,2,2,1,2,3,3,3,3,3,1,2,2,2,2,2,2,1,1,2,2,1,2
123,AY661132,0,0,1,0,0,0,0,0,0,0,1,2,2,2,3,0,0,0,2,2,2,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
124,AY661156,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,3,3,2,2,3,0,2,1,1,1,1,0,1,0,1,0,1,1
125,AY661152,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,3,2,2,2,3,0,2,1,1,1,1,0,1,0,1,0,1,1
126,AY661153,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,2,2,2,2,2,0,1,1,1,1,1,0,1,0,1,0,1,1
127,AY661154,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,3,2,2,2,2,0,1,1,1,1,1,0,1,0,1,1,1,1
128,AY661167,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2
129,AY661159,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,1,3,2,2,2,2,0,0,1,1,0,1,0,0,0,1,0,0,0
130,AY661168,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,1,0,1,0,1,2,3,2,2,3,0,2,2,2,1,1,0,1,1,1,1,1,1
131,AY661169,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,1,1,2,1,1,3,3,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1
132,AY661162,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,1,1,2,1,2,1,1,3,3,2,2,3,1,2,2,2,2,2,1,1,1,2,1,1,2
133,AY661164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,1,0,1,2,2,3,2,2,0,2,2,1,1,1,1,1,1,1,2,1,1
134,AY661163,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,2,1,2,1,1,2,2,2,3,2,1,3,2,2,2,2,1,2,2,2,3,1,2
135,AY661166,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,1,1,2,1,2,1,2,3,3,3,3,3,1,3,2,2,2,2,2,1,1,2,2,1,2
136,AY661165,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,1,1,1,1,2,1,2,3,3,2,2,3,1,2,2,2,1,2,1,1,1,1,1,1,1
137,AY661173,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,1,1,2,1,1,3,3,3,3,3,1,2,2,2,2,2,1,1,1,1,2,1,1
138,AY661174,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,1,1,1,3,3,2,2,3,1,1,2,2,1,1,1,1,1,1,0,1,1
139,AY661161,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,0,1,2,1,2,1,2,3,3,3,3,3,1,2,2,2,2,2,2,1,1,2,2,1,2
140,AY661157,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,1,1,2,0,1,3,3,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1
141,AY661158,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,0,0,2,1,2,1,1,3,3,3,3,3,1,2,2,2,2,2,1,1,1,2,2,1,2
142,AY661170,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,1,0,2,1,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,1,1,2,2,1,2
143,AY661171,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,0,0,1,1,2,1,1,3,3,3,3,3,1,2,2,2,2,2,1,1,1,2,2,1,2
144,AY661172,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,0,0,0,2,1,2,1,2,3,3,3,3,3,1,3,2,2,2,2,2,1,2,1,2,1,2
